ID,Sex,Age,IntGain,IntPre,IntPost,STI,Dur,NumRep,STIBC
P1-M5,M,5,4.05940594059399,83.960396039604,88.019801980198,34.6466281581007,1.43332222222222,15,35.2703426489167
P10-M5,M,5,8.14081408140811,68.0968096809681,76.2376237623762,33.0236845034222,2.03080272108844,15,33.6181824866294
P11-M5,M,5,12.3762376237624,67.2029702970297,79.5792079207921,25.0360512739433,1.5658231292517,15,25.4867545256743
P12-M5,M,5,2.3972397239724,83.6633663366337,86.0606060606061,22.9718364544634,1.44740136054422,15,23.3853793600507
P14-M5,M,5,8.8118811881188,61.3861386138614,70.1980198019802,24.3915784218777,1.47700680272109,15,24.8306797637509
P15-F5,F,5,3.5643564356436,71.2871287128713,74.8514851485149,27.1296339258859,1.46695970695971,13,27.7001007615043
P16-M4,M,4,11.2211221122113,66.2266226622662,77.4477447744775,37.6820753128402,2.12260447035957,14,38.4130198912525
P17-F5,F,5,6.8069306930693,63.2425742574257,70.049504950495,25.2521402061214,1.29197278911565,12,25.831823058323
P18-M7,M,7,1.6831683168316,75.940594059406,77.6237623762376,33.9837030934219,1.47265306122449,12,34.7638258781351
P2-M6,M,6,6.9306930693069,78.8118811881188,85.7425742574257,34.1996473549418,1.34639455782313,15,34.8153152213425
P20-M4,M,4,11.032531824611,72.2772277227723,83.3097595473833,33.5273354278105,1.83575510204082,15,34.1309002205906
P21-F7,F,7,15.6037826004823,67.5645342312009,83.1683168316832,36.3521299663813,1.33927025355597,11,37.2708536331704
P22-M5,M,5,0.990099009900902,41.7491749174918,42.7392739273927,35.1399377373939,1.90367346938776,12,35.9466028029103
P23-F8,F,8,4.27689725494281,85.4455445544555,89.7224418093983,37.0640788938437,1.73648979591837,15,37.7313127438261
P24-M7,M,7,7.9207920792079,87.0049504950495,94.9257425742574,30.3589398499683,1.48705389848247,13,30.9973107323862
P25-F5,F,5,17.9207920792079,64.0594059405941,81.980198019802,27.5757478529635,1.46954324586978,14,28.1106531951308
P26-F6,F,6,3.4813481348135,77.3267326732673,80.8080808080808,30.1061773616563,1.40983479105928,14,30.69016714822
P27-M4,M,4,4.55267748997119,75.3575357535754,79.9102132435466,24.728590454819,1.527242281528,13,25.2485694852992
P28-F6,F,6,8.030803080308,72.2772277227723,80.3080308030803,25.2483254152798,1.38122448979592,15,25.7028500621946
P29-F8,F,8,1.983198319832,94.8484848484848,96.8316831683168,27.6777986842404,1.33835688121402,13,28.2597920231633
P30-F8,F,8,3.2673267326733,88.2178217821782,91.4851485148515,19.7005965610265,1.18791836734694,15,20.0552500498671
P31-F5,F,5,8.4158415841585,76.5346534653465,84.950495049505,23.6576835117123,1.17050340136054,15,24.0835731526338
P32-F3,F,3,4.7064706470647,62.970297029703,67.6767676767677,29.0517661020971,1.28544217687075,12,29.7186723721437
P33-F4,F,4,1.7326732673267,66.5841584158416,68.3168316831683,27.9968862422728,1.55537414965986,14,28.5399606892432
P34-F4,F,4,20.8310831083109,66.1386138613861,86.969696969697,14.3626507558331,1.60761904761905,15,14.6212096367166
P35-M6,M,6,8.71287128712871,73.2673267326733,81.980198019802,31.9393157914392,1.5788843537415,10,32.8371061081833
P36-F7,F,7,8.64642019757531,80.0224466891134,88.6688668866887,33.7946284138193,1.30721088435374,12,34.5704108397092
P37-F4,F,4,9.03465346534661,69.9257425742574,78.960396039604,31.755561409395,1.52707482993197,12,32.4845354393506
P38-M5,M,5,-0.198019801980195,87.4257425742574,87.2277227722772,25.1319885863645,1.55972789115646,12,25.7089132630979
P39-F7,F,7,5.5005500550055,83.3883388338834,88.8888888888889,22.2102034886744,1.48048979591837,15,22.6100353481167
P4-M6,M,6,0.912305516265903,82.6732673267327,83.5855728429986,27.9157272640023,1.47451111111111,15,28.4182709325167
P40-F8,F,8,10.8910891089109,75,85.8910891089109,37.8922211278644,1.45648202137998,14,38.6272420460985
P43-F7,F,7,-2.7161375931407,86.6336633663366,83.9175257731959,33.2705605784723,1.45800865800866,11,34.1114040569439
P44-F5,F,5,-1.2530806345239,67.003367003367,65.7502863688431,38.746103772753,2.31031292517007,10,39.8352278167961
P46-M5,M,5,10.3616813294232,47.2727272727273,57.6344086021505,30.1807978567251,1.22381998953428,13,30.8154228685038
P5-M8,M,8,6.3366336633663,81.0891089108911,87.4257425742574,20.8466750670736,1.20707482993197,12,21.3252269824028
P6-F5,F,5,11.5511551155116,71.8371837183718,83.3883388338834,29.450585580323,1.35785416666667,15,29.9807600292086
P7-F5,F,5,1.10011001100109,85.8085808580858,86.9086908690869,38.2825562189341,1.60936054421769,15,38.9717253048916
P8-F5,F,5,1.6501650165016,81.958195819582,83.6083608360836,29.7663099160073,1.48820213799806,14,30.3437070649651
P9-F5,F,5,4.7304730473047,75.3575357535754,80.0880088008801,27.2631734076733,1.54318367346939,15,27.7539696907171
