Speaker,Sex,Age,Pre-Test,Post-Test,Learning,rate_sps
F3_32,F,3,62.970297029703,67.6767676767677,4.7064706470647,3.2
F4_33,F,4,66.5841584158416,68.3168316831683,1.7326732673267,2.85
F4_34,F,4,66.1386138613861,86.969696969697,20.8310831083109,3.11
F4_37,F,4,69.9257425742574,78.960396039604,9.03465346534661,3.07
F5_06,F,5,71.8371837183718,83.3883388338834,11.5511551155116,2.96
F5_07,F,5,85.8085808580858,86.9086908690869,1.10011001100109,2.84
F5_08,F,5,81.958195819582,83.6083608360836,1.6501650165016,2.94
F5_09,F,5,75.3575357535754,80.0880088008801,4.7304730473047,2.71
F5_15,F,5,71.2871287128713,74.8514851485149,3.5643564356436,3.57
F5_17,F,5,63.2425742574257,70.049504950495,6.80693069306931,3.24
F5_25,F,5,64.0594059405941,81.980198019802,17.9207920792079,2.79
F5_31,F,5,76.5346534653465,84.950495049505,8.4158415841585,3.63
F5_44,F,5,67.003367003367,65.7502863688431,-1.2530806345239,2.4
F6_26,F,6,77.3267326732673,80.8080808080808,3.4813481348135,2.7
F6_28,F,6,72.2772277227723,80.3080308030803,8.030803080308,3.26
F7_21,F,7,67.5645342312009,83.1683168316832,15.6037826004823,3.3
F7_36,F,7,80.0224466891134,88.6688668866887,8.64642019757531,3.29
F7_39,F,7,83.3883388338834,88.8888888888889,5.50055005500551,3.46
F7_43,F,7,86.6336633663366,83.9175257731959,-2.7161375931407,3.61
F8_23,F,8,85.4455445544555,89.7224418093983,4.27689725494281,2.7
F8_29,F,8,94.8484848484848,96.8316831683168,1.983198319832,3.44
F8_30,F,8,88.2178217821782,91.4851485148515,3.2673267326733,3.47
F8_40,F,8,75,85.8910891089109,10.8910891089109,3.56
M4_16,M,4,66.2266226622662,77.4477447744775,11.2211221122113,2.65
M4_20,M,4,72.2772277227723,83.3097595473833,11.032531824611,2.68
M4_27,M,4,75.3575357535754,79.9102132435466,4.55267748997119,3.06
M5_01,M,5,83.960396039604,88.019801980198,4.05940594059399,3.92
M5_10,M,5,68.0968096809681,76.2376237623762,8.14081408140811,2.39
M5_11,M,5,67.2029702970297,79.5792079207921,12.3762376237624,3.11
M5_12,M,5,83.6633663366337,86.0606060606061,2.3972397239724,3.55
M5_14,M,5,61.3861386138614,70.1980198019802,8.8118811881188,2.9
M5_22,M,5,41.7491749174918,42.7392739273927,0.990099009900902,3.17
M5_38,M,5,87.4257425742574,87.2277227722772,-0.198019801980195,2.86
M5_46,M,5,47.2727272727273,57.6344086021505,10.3616813294232,3.78
M6_02,M,6,78.8118811881188,85.7425742574257,6.9306930693069,3.52
M6_04,M,6,82.6732673267327,83.5855728429986,0.912305516265903,3.13
M6_35,M,6,73.2673267326733,81.980198019802,8.71287128712871,3.46
M7_18,M,7,75.940594059406,77.6237623762376,1.6831683168316,3.41
M7_24,M,7,87.0049504950495,94.9257425742574,7.9207920792079,3.31
M8_05,M,8,81.0891089108911,87.4257425742574,6.3366336633663,3.95
