speaker,age,sex,pretest,posttest,learning,rate_sps,targetStop,stop_n_tokens,vot_M,vot_SD,vot_CoV
F3_32,3,F,62.970297029703,67.6767676767677,4.7064706470647,3.2,P,34,64.0314169168306,29.2750599224612,45.7198377485323
F3_32,3,F,62.970297029703,67.6767676767677,4.7064706470647,3.2,T,24,69.4021969765144,32.6106907493737,46.9879804531392
F3_32,3,F,62.970297029703,67.6767676767677,4.7064706470647,3.2,K,26,86.1223468566184,35.1404943063276,40.8029920095322
F4_33,4,F,66.5841584158416,68.3168316831683,1.7326732673267,2.85,P,28,48.2925411874125,23.9003043240412,49.4906744113745
F4_33,4,F,66.5841584158416,68.3168316831683,1.7326732673267,2.85,T,19,88.1774608984529,33.7189903559502,38.239919830286
F4_33,4,F,66.5841584158416,68.3168316831683,1.7326732673267,2.85,K,22,98.2603630338552,86.0465980895009,87.5699981485453
F4_34,4,F,66.1386138613861,86.969696969697,20.8310831083109,3.11,P,31,67.5420887167816,34.3950361008905,50.923856153037
F4_34,4,F,66.1386138613861,86.969696969697,20.8310831083109,3.11,T,16,82.9032193079256,25.2304203374898,30.4335833374299
F4_34,4,F,66.1386138613861,86.969696969697,20.8310831083109,3.11,K,21,75.6813458791632,26.5118395277575,35.0308774504191
F4_37,4,F,69.9257425742574,78.960396039604,9.03465346534661,3.07,P,23,62.8595569549043,23.9269485833978,38.0641381239182
F4_37,4,F,69.9257425742574,78.960396039604,9.03465346534661,3.07,T,15,87.3298785799719,49.1708006756189,56.3046708356419
F4_37,4,F,69.9257425742574,78.960396039604,9.03465346534661,3.07,K,19,76.4213142535578,31.818669088549,41.6358569586726
F5_06,5,F,71.8371837183718,83.3883388338834,11.5511551155116,2.96,P,26,55.3294108391852,20.4696428463887,36.9959530309905
F5_06,5,F,71.8371837183718,83.3883388338834,11.5511551155116,2.96,T,18,78.7876576473803,43.4079552253311,55.0948670407318
F5_06,5,F,71.8371837183718,83.3883388338834,11.5511551155116,2.96,K,18,81.4152125033244,30.2636346652283,37.1719654530074
F5_07,5,F,85.8085808580858,86.9086908690869,1.10011001100109,2.84,P,28,71.7715293448755,29.3863853792438,40.9443488908209
F5_07,5,F,85.8085808580858,86.9086908690869,1.10011001100109,2.84,T,19,74.4925940466857,30.1411252464566,40.4619085053834
F5_07,5,F,85.8085808580858,86.9086908690869,1.10011001100109,2.84,K,18,87.9347076985033,29.2301986445967,33.2407980985354
F5_08,5,F,81.958195819582,83.6083608360836,1.6501650165016,2.94,P,22,75.8541842059201,25.1424775667921,33.1458018169944
F5_08,5,F,81.958195819582,83.6083608360836,1.6501650165016,2.94,T,16,102.764617782486,36.0192685622948,35.0502627650832
F5_08,5,F,81.958195819582,83.6083608360836,1.6501650165016,2.94,K,19,104.944765580339,37.379752262309,35.6185008900643
F5_09,5,F,75.3575357535754,80.0880088008801,4.7304730473047,2.71,P,25,84.2138533516244,21.5641915974934,25.6064658476733
F5_09,5,F,75.3575357535754,80.0880088008801,4.7304730473047,2.71,T,18,100.167992492599,32.9293421014697,32.8741160544898
F5_09,5,F,75.3575357535754,80.0880088008801,4.7304730473047,2.71,K,19,100.168883208182,29.3234615644315,29.2740226558065
F5_15,5,F,71.2871287128713,74.8514851485149,3.5643564356436,3.57,P,27,111.76750602781,85.0493872101416,76.0949136585189
F5_15,5,F,71.2871287128713,74.8514851485149,3.5643564356436,3.57,T,16,109.630367353032,30.6476821133131,27.9554678628607
F5_15,5,F,71.2871287128713,74.8514851485149,3.5643564356436,3.57,K,20,107.552758484107,33.6240285203295,31.262823003557
F5_17,5,F,63.2425742574257,70.049504950495,6.80693069306931,3.24,P,30,38.7167173119116,22.1247384143274,57.1451815919335
F5_17,5,F,63.2425742574257,70.049504950495,6.80693069306931,3.24,T,14,59.5257022788899,19.5470623178263,32.8380205012019
F5_17,5,F,63.2425742574257,70.049504950495,6.80693069306931,3.24,K,19,71.5462895931225,21.1168646048058,29.514968176401
F5_25,5,F,64.0594059405941,81.980198019802,17.9207920792079,2.79,P,22,79.0370447197669,34.4516761001969,43.5892766769664
F5_25,5,F,64.0594059405941,81.980198019802,17.9207920792079,2.79,T,17,110.568523278378,50.3477196846468,45.535309862
F5_25,5,F,64.0594059405941,81.980198019802,17.9207920792079,2.79,K,20,114.683441090224,39.7275884839932,34.6410851525972
F5_31,5,F,76.5346534653465,84.950495049505,8.4158415841585,3.63,P,28,67.8088233464532,21.5551069950056,31.7880563785554
F5_31,5,F,76.5346534653465,84.950495049505,8.4158415841585,3.63,T,17,84.375113797871,35.9763200282948,42.6385440077505
F5_31,5,F,76.5346534653465,84.950495049505,8.4158415841585,3.63,K,19,97.1488262032904,38.152181343129,39.2718912149212
F5_44,5,F,67.003367003367,65.7502863688431,-1.2530806345239,2.4,P,22,57.691387902644,36.1522124469354,62.6648339747752
F5_44,5,F,67.003367003367,65.7502863688431,-1.2530806345239,2.4,T,15,82.9786160208787,41.8952652019558,50.4892310946886
F5_44,5,F,67.003367003367,65.7502863688431,-1.2530806345239,2.4,K,20,86.7340146515836,32.701088467679,37.7027266627072
F6_26,6,F,77.3267326732673,80.8080808080808,3.4813481348135,2.7,P,23,81.2077057885821,49.656354117794,61.1473426512878
F6_26,6,F,77.3267326732673,80.8080808080808,3.4813481348135,2.7,T,16,94.2398108880301,73.3555577442912,77.839245487714
F6_26,6,F,77.3267326732673,80.8080808080808,3.4813481348135,2.7,K,22,139.128603267858,60.91038587333,43.7799161658095
F6_28,6,F,72.2772277227723,80.3080308030803,8.030803080308,3.26,P,28,52.0684945595402,18.1445359560919,34.8474372258711
F6_28,6,F,72.2772277227723,80.3080308030803,8.030803080308,3.26,T,13,62.0403295559525,18.4067856607821,29.6690649332891
F6_28,6,F,72.2772277227723,80.3080308030803,8.030803080308,3.26,K,20,58.0253714029567,36.2875962045788,62.5374647799838
F7_21,7,F,67.5645342312009,83.1683168316832,15.6037826004823,3.3,P,23,89.0327285666137,30.648775723405,34.424167625587
F7_21,7,F,67.5645342312009,83.1683168316832,15.6037826004823,3.3,T,15,103.000446097252,28.7552526795536,27.9176001358316
F7_21,7,F,67.5645342312009,83.1683168316832,15.6037826004823,3.3,K,20,122.715402519977,70.962772709177,57.827111554008
F7_36,7,F,80.0224466891134,88.6688668866887,8.64642019757531,3.29,P,27,85.1123036949594,24.1788280051894,28.4081465963438
F7_36,7,F,80.0224466891134,88.6688668866887,8.64642019757531,3.29,T,18,83.4788742575087,28.0856841294047,33.6440619009407
F7_36,7,F,80.0224466891134,88.6688668866887,8.64642019757531,3.29,K,22,124.302807525701,97.925944963963,78.7801554230511
F7_39,7,F,83.3883388338834,88.8888888888889,5.50055005500551,3.46,P,22,82.5427244204862,24.5913394899632,29.7922556622809
F7_39,7,F,83.3883388338834,88.8888888888889,5.50055005500551,3.46,T,16,80.1295138712628,27.7023204419731,34.5719312443104
F7_39,7,F,83.3883388338834,88.8888888888889,5.50055005500551,3.46,K,20,83.4496873548947,34.2110781737953,40.9960531407416
F7_43,7,F,86.6336633663366,83.9175257731959,-2.7161375931407,3.61,P,26,56.2805554889777,27.2366191579635,48.3943680394157
F7_43,7,F,86.6336633663366,83.9175257731959,-2.7161375931407,3.61,T,17,73.7475865263524,30.2781897251508,41.0565160858944
F7_43,7,F,86.6336633663366,83.9175257731959,-2.7161375931407,3.61,K,19,76.2510480736805,27.7562078112291,36.4010836735104
F8_23,8,F,85.4455445544555,89.7224418093983,4.27689725494281,2.7,P,30,82.3767464423716,38.8699839165821,47.185626521162
F8_23,8,F,85.4455445544555,89.7224418093983,4.27689725494281,2.7,T,16,77.2758771786422,28.4217651477259,36.7796085730893
F8_23,8,F,85.4455445544555,89.7224418093983,4.27689725494281,2.7,K,22,82.8158819245423,39.0202004200978,47.1168084107963
F8_29,8,F,94.8484848484848,96.8316831683168,1.983198319832,3.44,P,28,54.0959106760514,21.1481919257644,39.0938828119718
F8_29,8,F,94.8484848484848,96.8316831683168,1.983198319832,3.44,T,18,80.0706071476436,21.3526833467406,26.6673178927793
F8_29,8,F,94.8484848484848,96.8316831683168,1.983198319832,3.44,K,21,89.8035959691729,31.5847982550917,35.1709727369202
F8_30,8,F,88.2178217821782,91.4851485148515,3.2673267326733,3.47,P,28,68.737125111983,15.0866335730173,21.9483045711309
F8_30,8,F,88.2178217821782,91.4851485148515,3.2673267326733,3.47,T,16,85.5075567851768,27.4594993311668,32.113535181638
F8_30,8,F,88.2178217821782,91.4851485148515,3.2673267326733,3.47,K,18,87.6489199546909,29.7590959235602,33.9526099567956
F8_40,8,F,75,85.8910891089109,10.8910891089109,3.56,P,28,43.9610058476021,22.9460118182404,52.1962848115588
F8_40,8,F,75,85.8910891089109,10.8910891089109,3.56,T,17,60.9196450679674,25.5621288749026,41.9604034895201
F8_40,8,F,75,85.8910891089109,10.8910891089109,3.56,K,22,78.2674965660138,29.0190501412307,37.0767578042501
M4_16,4,M,66.2266226622662,77.4477447744775,11.2211221122113,2.65,P,30,55.8213024652188,32.2128923881601,57.7071672740552
M4_16,4,M,66.2266226622662,77.4477447744775,11.2211221122113,2.65,T,17,55.1606182814073,21.0308679190053,38.1265993280101
M4_16,4,M,66.2266226622662,77.4477447744775,11.2211221122113,2.65,K,21,55.0689587588505,22.1554782342123,40.2322446865796
M4_20,4,M,72.2772277227723,83.3097595473833,11.032531824611,2.68,P,28,131.063643426243,76.8686698206618,58.649880173612
M4_20,4,M,72.2772277227723,83.3097595473833,11.032531824611,2.68,T,15,138.208247500472,38.2816478831716,27.6985263727049
M4_20,4,M,72.2772277227723,83.3097595473833,11.032531824611,2.68,K,20,158.854292749863,54.9684046281745,34.6030338095612
M4_27,4,M,75.3575357535754,79.9102132435466,4.55267748997119,3.06,P,27,65.6123049111505,31.5971161641154,48.1573025165065
M4_27,4,M,75.3575357535754,79.9102132435466,4.55267748997119,3.06,T,18,73.8513785845207,22.8098388307953,30.8861381709891
M4_27,4,M,75.3575357535754,79.9102132435466,4.55267748997119,3.06,K,23,85.0727304916788,26.3823213053195,31.0114899954928
M5_01,5,M,83.960396039604,88.019801980198,4.05940594059399,3.92,P,25,47.5518671858052,16.598906629404,34.9069502666321
M5_01,5,M,83.960396039604,88.019801980198,4.05940594059399,3.92,T,16,76.7248275336365,46.7254315650548,60.9000151151466
M5_01,5,M,83.960396039604,88.019801980198,4.05940594059399,3.92,K,21,68.7085726620208,20.4661270080051,29.7868609622827
M5_10,5,M,68.0968096809681,76.2376237623762,8.14081408140811,2.39,P,31,97.2158199840928,32.3259519355773,33.2517402423461
M5_10,5,M,68.0968096809681,76.2376237623762,8.14081408140811,2.39,T,16,135.043837362889,35.514291029211,26.2983426143151
M5_10,5,M,68.0968096809681,76.2376237623762,8.14081408140811,2.39,K,21,136.821490835763,44.7039078504681,32.673162364624
M5_11,5,M,67.2029702970297,79.5792079207921,12.3762376237624,3.11,P,28,48.7094847947525,19.0533567738033,39.1163176003372
