"Measure","M (SD) [min, max]"
"Age (years)","5.6 (1.3) [3.0, 8.0]"
"Speech rate (syll/s)","3.17 (0.39) [2.39, 3.95]"
"Pretest intelligibility (%)","74.17 (10.86) [41.75, 94.85]"
"Posttest intelligibility (%)","80.57 (10.10) [42.74, 96.83]"
"Perceptual learning (%)","6.40 (5.13) [-2.72, 20.83]"
"VOT mean (ms)","79.1 (19.1) [51.3, 141.6]"
"VOT SD (ms)","33.1 (10.7) [18.1, 60.7]"
"VOT CV (%)","41.9 (8.0) [24.0, 59.3]"
"Vowel MCV","0.071 (0.013) [0.049, 0.107]"
"Acoustic STI","31.0 (4.8) [15.5, 38.9]"
