"analysis","term","estimate","std_error","statistic","p_value","r_squared","adjusted_r_squared","n"
"RQ1: stop variability","(Intercept)",81.9608531712393,20.0460778129805,4.08862291845275,0.000224437048843389,0.0957928120651135,0.046916747852417,40
"RQ1: stop variability","rate_sps",2.3842251872009,4.60929984180368,0.517264068086298,0.608050562132661,0.0957928120651135,0.046916747852417,40
"RQ1: stop variability","vot_CoV",-0.366916419783322,0.226687799838483,-1.61859800150142,0.114028021575186,0.0957928120651135,0.046916747852417,40
"RQ1: vowel variability","(Intercept)",64.8358936055335,13.794067452466,4.70027378283862,3.54707499059763e-05,0.142378531964466,0.0960206147733561,40
"RQ1: vowel variability","rate_sps",2.94133382020339,4.31572501858899,0.681538746684339,0.499774647222846,0.142378531964466,0.0960206147733561,40
"RQ1: vowel variability","vowel_MCV_z",-3.69719646532506,1.69247565265922,-2.18449019311801,0.0353377503986263,0.142378531964466,0.0960206147733561,40
"RQ2: stop variability","(Intercept)",6.64612605706026,6.26065367408892,1.0615706287295,0.295701159475566,0.314498931971699,0.236155952768465,40
"RQ2: stop variability","rate_sps",0.114342746988906,1.96746554716838,0.0581167721861612,0.953986160871216,0.314498931971699,0.236155952768465,40
"RQ2: stop variability","pretest_c",-0.250016458734963,0.0712184595935198,-3.51055695618713,0.00125166303408068,0.314498931971699,0.236155952768465,40
"RQ2: stop variability","vot_CoV_c",-0.227455793615553,0.102664202821733,-2.21553167865637,0.0333234096886506,0.314498931971699,0.236155952768465,40
"RQ2: stop variability","pretest_c:vot_CoV_c",0.0241348211168431,0.00987989238397615,2.44282226757718,0.0197611638039846,0.314498931971699,0.236155952768465,40
"RQ2: vowel variability","(Intercept)",2.15396080467277,6.37349252648611,0.33795611993293,0.737415034582617,0.262149463492737,0.177823687891907,40
"RQ2: vowel variability","rate_sps",1.54216706874684,2.01427662392456,0.765618312018198,0.449035970124604,0.262149463492737,0.177823687891907,40
"RQ2: vowel variability","pretest_c",-0.241762616206528,0.0769552043045227,-3.14160190193036,0.00341044968735633,0.262149463492737,0.177823687891907,40
"RQ2: vowel variability","vowel_MCV_z",0.474156614897252,0.881619216841876,0.53782472731909,0.594101704829663,0.262149463492737,0.177823687891907,40
"RQ2: vowel variability","pretest_c:vowel_MCV_z",0.168734711974362,0.0728130791893911,2.31736816864279,0.0264551309038682,0.262149463492737,0.177823687891907,40
