"Predictor","VOT CV__b [95% CI]","VOT CV__p","Vowel MCV__b [95% CI]","Vowel MCV__p"
"Intercept","6.65 [-6.06, 19.36]",".296","2.15 [-10.78, 15.09]",".737"
"Speech rate","0.11 [-3.88, 4.11]",".954","1.54 [-2.55, 5.63]",".449"
"Pretest intelligibility (centered)","-0.25 [-0.39, -0.11]",".001","-0.24 [-0.40, -0.09]",".003"
"VOT CV (centered)","-0.23 [-0.44, -0.02]",".033","--","--"
"Pretest × VOT CV","0.02 [0.00, 0.04]",".020","--","--"
"Vowel MCV (1 SD)","--","--","0.47 [-1.32, 2.26]",".594"
"Pretest × vowel MCV","--","--","0.17 [0.02, 0.32]",".026"
"Observations","40","","40",""
"R2",".31","",".26",""
"Adjusted R2",".24","",".18",""
"AIC","240.16","","243.11",""
